,date,total,type
0,2021-11-30,0,7 days
0,2021-11-30,0,14 days
0,2021-11-30,0,30 days
1,2021-12-01,0,7 days
1,2021-12-01,0,14 days
1,2021-12-01,0,30 days
2,2021-12-02,1,7 days
2,2021-12-02,1,14 days
2,2021-12-02,1,30 days
3,2021-12-03,5,7 days
3,2021-12-03,5,14 days
3,2021-12-03,5,30 days
4,2021-12-04,9,14 days
4,2021-12-04,9,30 days
4,2021-12-04,9,7 days
5,2021-12-05,10,30 days
5,2021-12-05,10,7 days
5,2021-12-05,10,14 days
6,2021-12-06,10,30 days
6,2021-12-06,10,7 days
6,2021-12-06,10,14 days
7,2021-12-07,15,30 days
7,2021-12-07,15,7 days
7,2021-12-07,15,14 days
8,2021-12-08,16,30 days
8,2021-12-08,16,14 days
8,2021-12-08,14,7 days
9,2021-12-09,18,14 days
9,2021-12-09,18,30 days
9,2021-12-09,13,7 days
10,2021-12-10,21,14 days
10,2021-12-10,21,30 days
10,2021-12-10,9,7 days
11,2021-12-11,28,14 days
11,2021-12-11,28,30 days
11,2021-12-11,7,7 days
12,2021-12-12,29,30 days
12,2021-12-12,7,7 days
12,2021-12-12,29,14 days
13,2021-12-13,7,7 days
13,2021-12-13,30,14 days
13,2021-12-13,30,30 days
14,2021-12-14,11,7 days
14,2021-12-14,40,14 days
14,2021-12-14,40,30 days
15,2021-12-15,10,7 days
15,2021-12-15,41,14 days
15,2021-12-15,43,30 days
16,2021-12-16,45,14 days
16,2021-12-16,53,30 days
16,2021-12-16,10,7 days
17,2021-12-17,57,30 days
17,2021-12-17,9,7 days
17,2021-12-17,39,14 days
18,2021-12-18,60,30 days
18,2021-12-18,8,7 days
18,2021-12-18,35,14 days
19,2021-12-19,60,30 days
19,2021-12-19,6,7 days
19,2021-12-19,34,14 days
20,2021-12-20,61,30 days
20,2021-12-20,6,7 days
20,2021-12-20,33,14 days
21,2021-12-21,32,14 days
21,2021-12-21,65,30 days
21,2021-12-21,5,7 days
22,2021-12-22,25,14 days
22,2021-12-22,68,30 days
22,2021-12-22,6,7 days
23,2021-12-23,26,14 days
23,2021-12-23,73,30 days
23,2021-12-23,8,7 days
24,2021-12-24,24,14 days
24,2021-12-24,78,30 days
24,2021-12-24,5,7 days
25,2021-12-25,21,14 days
25,2021-12-25,4,7 days
25,2021-12-25,79,30 days
26,2021-12-26,4,7 days
26,2021-12-26,19,14 days
26,2021-12-26,79,30 days
27,2021-12-27,4,7 days
27,2021-12-27,19,14 days
27,2021-12-27,79,30 days
28,2021-12-28,3,7 days
28,2021-12-28,17,14 days
28,2021-12-28,83,30 days
29,2021-12-29,86,30 days
29,2021-12-29,4,7 days
29,2021-12-29,20,14 days
30,2021-12-30,92,30 days
30,2021-12-30,4,7 days
30,2021-12-30,18,14 days
31,2021-12-31,95,30 days
31,2021-12-31,16,14 days
31,2021-12-31,7,7 days
32,2022-01-01,17,14 days
32,2022-01-01,7,7 days
32,2022-01-01,91,30 days
33,2022-01-02,7,7 days
33,2022-01-02,17,14 days
33,2022-01-02,82,30 days
34,2022-01-03,17,14 days
34,2022-01-03,6,7 days
34,2022-01-03,79,30 days
35,2022-01-04,7,7 days
35,2022-01-04,81,30 days
35,2022-01-04,18,14 days
36,2022-01-05,15,14 days
36,2022-01-05,81,30 days
36,2022-01-05,6,7 days
37,2022-01-06,80,30 days
37,2022-01-06,18,14 days
37,2022-01-06,10,7 days
38,2022-01-07,76,30 days
38,2022-01-07,7,7 days
38,2022-01-07,18,14 days
39,2022-01-08,13,7 days
39,2022-01-08,23,14 days
39,2022-01-08,73,30 days
40,2022-01-09,24,14 days
40,2022-01-09,69,30 days
40,2022-01-09,14,7 days
41,2022-01-10,25,14 days
41,2022-01-10,16,7 days
41,2022-01-10,70,30 days
42,2022-01-11,17,7 days
42,2022-01-11,80,30 days
42,2022-01-11,31,14 days
43,2022-01-12,17,7 days
43,2022-01-12,37,14 days
43,2022-01-12,89,30 days
44,2022-01-13,88,30 days
44,2022-01-13,20,7 days
44,2022-01-13,39,14 days
45,2022-01-14,24,7 days
45,2022-01-14,46,14 days
45,2022-01-14,94,30 days
46,2022-01-15,53,14 days
46,2022-01-15,23,7 days
46,2022-01-15,95,30 days
47,2022-01-16,54,14 days
47,2022-01-16,92,30 days
47,2022-01-16,23,7 days
48,2022-01-17,22,7 days
48,2022-01-17,93,30 days
48,2022-01-17,56,14 days
49,2022-01-18,52,14 days
49,2022-01-18,18,7 days
49,2022-01-18,98,30 days
50,2022-01-19,106,30 days
50,2022-01-19,16,7 days
50,2022-01-19,50,14 days
51,2022-01-20,16,7 days
51,2022-01-20,110,30 days
51,2022-01-20,53,14 days
52,2022-01-21,19,7 days
52,2022-01-21,115,30 days
52,2022-01-21,56,14 days
53,2022-01-22,122,30 days
53,2022-01-22,25,7 days
53,2022-01-22,62,14 days
54,2022-01-23,29,7 days
54,2022-01-23,65,14 days
54,2022-01-23,123,30 days
55,2022-01-24,28,7 days
55,2022-01-24,121,30 days
55,2022-01-24,61,14 days
56,2022-01-25,129,30 days
56,2022-01-25,30,7 days
56,2022-01-25,59,14 days
57,2022-01-26,142,30 days
57,2022-01-26,32,7 days
57,2022-01-26,64,14 days
58,2022-01-27,66,14 days
58,2022-01-27,144,30 days
58,2022-01-27,27,7 days
59,2022-01-28,65,14 days
59,2022-01-28,143,30 days
59,2022-01-28,22,7 days
60,2022-01-29,143,30 days
60,2022-01-29,17,7 days
60,2022-01-29,65,14 days
61,2022-01-30,65,14 days
61,2022-01-30,139,30 days
61,2022-01-30,15,7 days
62,2022-01-31,135,30 days
62,2022-01-31,15,7 days
62,2022-01-31,63,14 days
63,2022-02-01,54,14 days
63,2022-02-01,8,7 days
63,2022-02-01,135,30 days
