,date,total,type
0,2021-11-30,7,doc_search
1,2021-12-01,47,doc_search
2,2021-12-02,40,doc_search
3,2021-12-03,31,doc_search
4,2021-12-04,7,doc_search
5,2021-12-05,11,doc_search
6,2021-12-06,40,doc_search
7,2021-12-07,37,doc_search
8,2021-12-08,32,doc_search
9,2021-12-09,28,doc_search
10,2021-12-10,19,doc_search
11,2021-12-11,5,doc_search
12,2021-12-12,6,doc_search
13,2021-12-13,32,doc_search
14,2021-12-14,26,doc_search
15,2021-12-15,28,doc_search
16,2021-12-16,19,doc_search
17,2021-12-17,27,doc_search
18,2021-12-18,4,doc_search
19,2021-12-19,8,doc_search
20,2021-12-20,19,doc_search
21,2021-12-21,24,doc_search
22,2021-12-22,21,doc_search
23,2021-12-23,19,doc_search
24,2021-12-24,8,doc_search
25,2021-12-26,1,doc_search
26,2021-12-27,10,doc_search
27,2021-12-28,28,doc_search
28,2021-12-29,15,doc_search
29,2021-12-30,20,doc_search
30,2021-12-31,6,doc_search
31,2022-01-01,3,doc_search
32,2022-01-02,2,doc_search
33,2022-01-03,29,doc_search
34,2022-01-04,27,doc_search
35,2022-01-05,30,doc_search
36,2022-01-06,31,doc_search
37,2022-01-07,23,doc_search
38,2022-01-08,5,doc_search
39,2022-01-09,17,doc_search
40,2022-01-10,43,doc_search
41,2022-01-11,39,doc_search
42,2022-01-12,49,doc_search
43,2022-01-13,40,doc_search
44,2022-01-14,36,doc_search
45,2022-01-15,8,doc_search
46,2022-01-16,12,doc_search
47,2022-01-17,33,doc_search
48,2022-01-18,41,doc_search
49,2022-01-19,39,doc_search
50,2022-01-20,44,doc_search
51,2022-01-21,58,doc_search
52,2022-01-22,25,doc_search
53,2022-01-23,2,doc_search
54,2022-01-24,35,doc_search
55,2022-01-25,55,doc_search
56,2022-01-26,27,doc_search
57,2022-01-27,26,doc_search
58,2022-01-28,14,doc_search
