,date,recurring_users
0,2021-11-30,0
1,2021-12-01,0
2,2021-12-02,1
3,2021-12-03,5
4,2021-12-04,9
5,2021-12-05,10
6,2021-12-06,10
7,2021-12-07,15
8,2021-12-08,14
9,2021-12-09,13
10,2021-12-10,9
11,2021-12-11,7
12,2021-12-12,7
13,2021-12-13,7
14,2021-12-14,11
15,2021-12-15,10
16,2021-12-16,10
17,2021-12-17,9
18,2021-12-18,8
19,2021-12-19,6
20,2021-12-20,6
21,2021-12-21,5
22,2021-12-22,6
23,2021-12-23,8
24,2021-12-24,5
25,2021-12-25,4
26,2021-12-26,4
27,2021-12-27,4
28,2021-12-28,3
29,2021-12-29,4
30,2021-12-30,4
31,2021-12-31,7
32,2022-01-01,7
33,2022-01-02,7
34,2022-01-03,6
35,2022-01-04,7
36,2022-01-05,6
37,2022-01-06,10
38,2022-01-07,7
39,2022-01-08,13
40,2022-01-09,14
41,2022-01-10,16
42,2022-01-11,17
43,2022-01-12,17
44,2022-01-13,20
45,2022-01-14,24
46,2022-01-15,23
47,2022-01-16,23
48,2022-01-17,22
49,2022-01-18,18
50,2022-01-19,16
51,2022-01-20,16
52,2022-01-21,19
53,2022-01-22,25
54,2022-01-23,29
55,2022-01-24,28
56,2022-01-25,30
57,2022-01-26,32
58,2022-01-27,27
59,2022-01-28,22
60,2022-01-29,17
61,2022-01-30,15
62,2022-01-31,15
